ULW,Material,Optik,Schale,Hoehe,Daemmung,Luefterrahmen_Variante,Lichtkuppel_Preis_EUR,Aufsatzkranz_Preis_EUR,Luefterrahmen_Preis_EUR,Zusatzkosten_EUR,Total_EUR
60,Acryl (Standard),klar (transparent),3-schalig,50 cm,80 mm,manuell offenbar (Spindel),252.6,450.3,235.8,52.5,991.20
60,Acryl (Standard),klar (transparent),3-schalig,50 cm,100 mm,keine,252.6,458.94,,,711.54
60,Acryl (Standard),klar (transparent),3-schalig,50 cm,100 mm,festverglast (nicht zu öffnen),252.6,458.94,0,0,711.54
60,Acryl (Standard),klar (transparent),3-schalig,50 cm,100 mm,manuell offenbar (Spindel),252.6,458.94,235.8,52.5,999.84
60,Acryl (Standard),klar (transparent),4-schalig,15 cm,20 mm,keine,320.1,164.7,,,484.80
60,Acryl (Standard),klar (transparent),4-schalig,15 cm,20 mm,festverglast (nicht zu öffnen),320.1,164.7,0,0,484.80
60,Acryl (Standard),klar (transparent),4-schalig,15 cm,20 mm,manuell offenbar (Spindel),320.1,164.7,235.8,52.5,773.10
60,Acryl (Standard),klar (transparent),4-schalig,30 cm,20 mm,keine,320.1,216.6,,,536.70
60,Acryl (Standard),klar (transparent),4-schalig,30 cm,20 mm,festverglast (nicht zu öffnen),320.1,216.6,0,0,536.70
60,Acryl (Standard),klar (transparent),4-schalig,30 cm,20 mm,manuell offenbar (Spindel),320.1,216.6,235.8,52.5,825.00
60,Acryl (Standard),klar (transparent),4-schalig,30 cm,40 mm,keine,320.1,300.36,,,620.46
60,Acryl (Standard),klar (transparent),4-schalig,30 cm,40 mm,festverglast (nicht zu öffnen),320.1,300.36,0,0,620.46
60,Acryl (Standard),klar (transparent),4-schalig,30 cm,40 mm,manuell offenbar (Spindel),320.1,300.36,235.8,52.5,908.76
60,Acryl (Standard),klar (transparent),4-schalig,30 cm,50 mm,keine,320.1,303.24,,,623.34
60,Acryl (Standard),klar (transparent),4-schalig,30 cm,50 mm,festverglast (nicht zu öffnen),320.1,303.24,0,0,623.34
60,Acryl (Standard),klar (transparent),4-schalig,30 cm,50 mm,manuell offenbar (Spindel),320.1,303.24,235.8,52.5,911.64
60,Acryl (Standard),klar (transparent),4-schalig,30 cm,60 mm,keine,320.1,306.84,,,626.94
